X,Y,FFMC,DMC,DC,ISI,Temperature,Relative_Humidity,Wind,Rainfall,Burned_Area,Fire_Category,Weather_Index
7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,,,7.611940298507463
7,4,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,,,36.666666666666664
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,,,25.384615384615383
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,,,24.25
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,,,55.0
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,,,5.37037037037037
8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,,,8.709677419354838
8,6,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,,,39.090909090909086
8,6,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,,,11.666666666666666
7,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,,,10.0
7,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,,,7.083333333333333
7,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,,,9.5
6,5,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,,,10.746268656716417
6,5,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,,,19.09090909090909
6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,,,4.666666666666667
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,,,8.148148148148147
5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,,,5.0
8,5,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,,,9.591836734693876
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,,,8.75
6,4,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,,,9.777777777777779
6,4,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,,,14.814814814814813
5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,,,14.074074074074073
7,4,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,,,9.777777777777779
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,,,7.413793103448276
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,,,5.517241379310345
7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,,,11.11111111111111
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,,,5.862068965517242
7,4,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,,,36.92307692307692
6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,,,8.888888888888888
6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,,,10.833333333333334
6,3,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,,,6.666666666666666
6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,,,10.263157894736842
6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,,,20.555555555555554
6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,,,10.833333333333334
6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,,,11.851851851851851
6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,,,13.777777777777779
6,3,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,,,5.333333333333333
7,4,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,,,11.11111111111111
7,3,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,,,6.75
4,4,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,,,15.925925925925926
4,4,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,,,11.935483870967742
4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,,,6.26865671641791
4,4,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,,,10.0
4,4,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,,,17.777777777777775
4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,,,15.102040816326529
5,6,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,,,6.0
5,6,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,,,19.444444444444443
6,6,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,,,11.612903225806452
4,4,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,,,19.444444444444443
4,4,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,,,7.931034482758621
4,4,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,,,13.076923076923077
4,3,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,,,15.454545454545453
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,,,8.571428571428571
4,3,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,,,8.571428571428571
4,3,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,,,12.5
4,3,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,,,10.909090909090908
4,3,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,,,12.857142857142856
4,3,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,,,18.51851851851852
2,2,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,,,7.4074074074074066
2,2,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,,,56.666666666666664
2,2,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,,,6.724137931034483
2,2,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,,,9.365079365079366
2,2,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,,,7.142857142857142
2,2,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,,,12.222222222222221
2,2,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,,,10.0
2,2,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,,,9.777777777777779
2,2,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,,,8.222222222222221
2,2,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,,,6.111111111111111
2,2,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,,,5.238095238095238
4,5,91.7,33.3,77.5,9.0,17.2,26,4.5,0.0,,,5.777777777777778
4,5,91.2,48.3,97.8,12.5,15.8,27,7.6,0.0,,,3.5526315789473686
4,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0.0,,,10.277777777777777
5,4,91.7,33.3,77.5,9.0,15.6,25,6.3,0.0,,,3.9682539682539684
5,4,88.8,147.3,614.5,9.0,17.3,43,4.5,0.0,,,9.555555555555555
5,4,93.3,141.2,713.9,13.9,27.6,30,1.3,0.0,,,23.076923076923077
9,9,84.2,6.8,26.6,7.7,6.7,79,3.1,0.0,,,25.483870967741936
9,9,86.6,13.2,43.0,5.3,15.7,43,3.1,0.0,,,13.870967741935484
1,3,87.6,52.2,103.8,5.0,8.3,72,3.1,0.0,,,23.225806451612904
1,2,90.1,108.0,529.8,12.5,14.7,66,2.7,0.0,,,24.444444444444443
1,2,91.0,121.2,561.6,7.0,21.6,19,6.7,0.0,,,2.835820895522388
1,2,91.4,142.4,601.4,10.6,19.5,39,6.3,0.0,,,6.190476190476191
1,2,90.2,99.6,631.2,6.3,17.9,44,2.2,0.0,,,20.0
1,2,94.8,108.3,647.1,17.0,18.6,51,4.5,0.0,,,11.333333333333334
1,2,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,,,52.22222222222222
1,2,91.7,114.3,661.3,6.3,20.2,45,3.6,0.0,,,12.5
1,2,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,,,16.666666666666668
1,2,92.9,137.0,706.4,9.2,25.4,27,2.2,0.0,,,12.272727272727272
1,2,92.9,137.0,706.4,9.2,22.4,34,2.2,0.0,,,15.454545454545453
1,2,93.5,149.3,728.6,8.1,25.3,36,3.6,0.0,,,10.0
6,5,91.7,35.8,80.8,7.8,17.4,25,4.9,0.0,,,5.1020408163265305
6,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0.0,,,10.172413793103448
8,6,91.7,35.8,80.8,7.8,17.4,24,5.4,0.0,,,4.444444444444444
8,6,92.3,85.3,488.0,14.7,20.8,32,6.3,0.0,,,5.079365079365079
8,6,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,,,8.775510204081632
8,6,91.1,103.2,638.8,5.8,23.4,22,2.7,0.0,,,8.148148148148147
4,4,89.7,90.0,704.4,4.8,17.8,64,1.3,0.0,,,49.230769230769226
3,4,83.9,8.0,30.2,2.6,12.7,48,1.8,0.0,,,26.666666666666664
3,4,69.0,2.4,15.5,0.7,17.4,24,5.4,0.0,,,4.444444444444444
3,4,91.4,142.4,601.4,10.6,11.6,87,4.5,0.0,,,19.333333333333332
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,,,7.222222222222221
3,4,91.4,142.4,601.4,10.6,19.8,39,5.4,0.0,,,7.222222222222221
3,4,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,,,12.222222222222221
2,4,94.8,108.3,647.1,17.0,20.1,40,4.0,0.0,,,10.0
2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0.0,,,6.444444444444445
2,4,82.1,3.7,9.3,2.9,5.3,78,3.1,0.0,,,25.161290322580644
4,5,85.9,19.5,57.3,2.8,12.7,52,6.3,0.0,,,8.253968253968255
4,5,91.4,30.7,74.3,7.5,18.2,29,3.1,0.0,,,9.35483870967742
4,5,90.2,99.6,631.2,6.3,21.4,33,3.1,0.0,,,10.64516129032258
4,5,92.5,88.0,698.6,7.1,20.3,45,3.1,0.0,,,14.516129032258064
4,5,88.6,91.8,709.9,7.1,17.4,56,5.4,0.0,,,10.37037037037037
4,4,85.9,19.5,57.3,2.8,13.7,43,5.8,0.0,,,7.413793103448276
3,4,91.7,33.3,77.5,9.0,18.8,18,4.5,0.0,,,4.0
3,4,89.7,90.0,704.4,4.8,22.8,39,3.6,0.0,,,10.833333333333334
3,4,91.8,78.5,724.3,9.2,18.9,35,2.7,0.0,,,12.962962962962962
3,4,88.1,25.7,67.6,3.8,15.8,27,7.6,0.0,,,3.5526315789473686
3,5,88.1,25.7,67.6,3.8,15.5,27,6.3,0.0,,,4.285714285714286
3,4,91.7,35.8,80.8,7.8,11.6,30,6.3,0.0,,,4.761904761904762
3,4,91.7,35.8,80.8,7.8,15.2,27,4.9,0.0,,,5.5102040816326525
3,4,90.1,39.7,86.6,6.2,10.6,30,4.0,0.0,,,7.5
3,4,93.0,75.3,466.6,7.7,19.6,36,3.1,0.0,,,11.612903225806452
3,4,91.5,145.4,608.2,10.7,10.3,74,2.2,0.0,,,33.63636363636363
3,4,91.5,145.4,608.2,10.7,17.1,43,5.4,0.0,,,7.962962962962963
3,4,92.4,124.1,680.7,8.5,22.5,42,5.4,0.0,,,7.777777777777778
3,4,84.4,73.4,671.9,3.2,17.9,45,3.1,0.0,,,14.516129032258064
3,4,94.3,85.1,692.3,15.9,19.8,50,5.4,0.0,,,9.25925925925926
3,4,92.6,46.5,691.8,8.8,20.6,24,5.4,0.0,,,4.444444444444444
3,5,87.6,52.2,103.8,5.0,9.0,49,2.2,0.0,,,22.27272727272727
3,5,93.5,149.3,728.6,8.1,17.2,43,3.1,0.0,,,13.870967741935484
3,5,91.4,37.9,673.8,5.2,15.9,46,3.6,0.0,,,12.777777777777777
2,5,92.6,46.5,691.8,8.8,15.4,35,0.9,0.0,,,38.888888888888886
4,6,68.2,21.5,87.2,0.8,15.4,40,2.7,0.0,,,14.814814814814813
4,6,87.2,23.9,64.7,4.1,14.0,39,3.1,0.0,,,12.580645161290322
4,6,89.3,51.3,102.2,9.6,10.6,46,4.9,0.0,,,9.387755102040815
4,6,93.7,80.9,685.2,17.9,17.6,42,3.1,0.0,,,13.548387096774194
3,5,88.1,25.7,67.6,3.8,14.9,38,2.7,0.0,,,14.074074074074073
3,5,93.5,139.4,594.2,20.3,17.6,52,5.8,0.0,,,8.965517241379311
3,6,92.4,124.1,680.7,8.5,17.2,58,1.3,0.0,,,44.61538461538461
3,6,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,,,21.29032258064516
9,9,85.8,48.3,313.4,3.9,18.0,42,2.7,0.0,0.36,Small,15.555555555555555
1,4,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43,Small,17.27272727272727
2,5,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47,Small,21.666666666666668
1,2,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55,Small,6.888888888888889
8,6,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61,Small,5.730337078651685
1,2,90.0,51.3,296.3,8.7,16.6,53,5.4,0.0,0.71,Small,9.814814814814815
2,5,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77,Small,5.925925925925926
6,5,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9,Small,5.5
5,4,90.1,39.7,86.6,6.2,13.2,40,5.4,0.0,0.95,Small,7.4074074074074066
8,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96,Small,7.777777777777778
2,2,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07,Medium,6.4179104477611935
8,6,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12,Medium,5.555555555555555
6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0.0,1.19,Medium,7.222222222222221
9,9,90.1,68.6,355.2,7.2,24.8,29,2.2,0.0,1.36,Medium,13.18181818181818
3,4,90.1,51.2,424.1,6.2,24.6,43,1.8,0.0,1.43,Medium,23.88888888888889
5,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46,Medium,9.591836734693876
1,5,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46,Medium,10.0
7,4,94.8,108.3,647.1,17.0,16.4,47,1.3,0.0,1.56,Medium,36.15384615384615
2,4,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61,Medium,12.272727272727272
2,2,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63,Medium,12.5
2,4,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64,Medium,8.75
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69,Medium,5.862068965517242
7,4,90.1,39.7,86.6,6.2,16.1,29,3.1,0.0,1.75,Medium,9.35483870967742
6,4,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9,Medium,10.25
6,3,90.6,50.1,100.4,7.8,15.2,31,8.5,0.0,1.94,Medium,3.6470588235294117
8,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95,Medium,31.11111111111111
8,5,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01,Medium,30.454545454545453
6,5,84.9,18.2,55.0,3.0,5.3,70,4.5,0.0,2.14,Medium,15.555555555555555
6,5,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29,Medium,52.22222222222222
6,5,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51,Medium,7.333333333333333
6,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0.0,2.53,Medium,2.7659574468085104
8,6,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55,Medium,20.454545454545453
5,4,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57,Medium,19.444444444444443
8,6,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69,Medium,12.5
7,4,91.4,142.4,601.4,10.6,20.1,39,5.4,0.0,2.74,Medium,7.222222222222221
4,4,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07,Medium,17.727272727272727
1,4,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5,Medium,29.444444444444443
1,4,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53,Medium,7.959183673469387
6,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,4.61,Medium,9.310344827586206
2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,0.0,4.69,Medium,16.296296296296294
2,5,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88,Medium,20.454545454545453
8,6,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23,Medium,12.222222222222221
1,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33,Medium,4.776119402985074
8,6,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44,Medium,8.0
5,4,86.8,15.6,48.3,3.9,12.4,53,2.2,0.0,6.38,Medium,24.09090909090909
7,4,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83,Medium,10.0
8,6,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96,Medium,6.938775510204081
2,5,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04,Medium,14.838709677419354
8,6,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,7.19,Medium,6.724137931034483
1,5,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3,Medium,19.09090909090909
6,4,90.8,41.9,89.4,7.9,13.3,42,0.9,0.0,7.4,Medium,46.666666666666664
7,4,90.7,44.0,92.4,5.5,11.5,60,4.0,0.0,8.24,Medium,15.0
6,5,91.2,48.3,97.8,12.5,11.7,33,4.0,0.0,8.31,Medium,8.25
2,5,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68,Medium,10.37037037037037
2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71,Medium,4.888888888888889
4,5,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41,Medium,6.25
2,2,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01,Large,4.888888888888889
2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02,Large,6.666666666666666
6,5,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,10.93,Large,9.310344827586206
4,5,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06,Large,16.666666666666668
3,4,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24,Large,9.365079365079366
2,4,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32,Large,10.555555555555555
1,5,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53,Large,14.999999999999998
6,5,90.1,37.6,83.7,7.2,12.4,54,3.6,0.0,12.1,Large,15.0
7,4,83.9,8.7,32.1,2.1,8.8,68,2.2,0.0,13.05,Large,30.909090909090907
8,6,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7,Large,13.703703703703702
5,6,90.6,50.1,100.4,7.8,15.1,64,4.0,0.0,13.99,Large,16.0
4,5,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57,Large,18.88888888888889
2,2,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45,Large,4.305555555555555
7,5,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2,Large,16.818181818181817
6,5,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23,Large,5.238095238095238
8,3,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41,Large,5.3061224489795915
4,4,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23,Large,8.064516129032258
7,4,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0,Large,16.551724137931036
7,4,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13,Large,9.591836734693876
7,3,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,27.35,Large,7.931034482758621
4,4,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,Large,5.5102040816326525
4,4,91.7,35.8,80.8,7.8,17.0,27,4.9,0.0,28.66,Large,5.5102040816326525
4,4,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48,Large,46.15384615384615
1,3,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32,Large,11.587301587301587
4,5,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72,Large,14.615384615384615
6,5,90.1,39.7,86.6,6.2,15.2,27,3.1,0.0,31.86,Large,8.709677419354838
8,6,90.2,99.6,631.2,6.3,16.2,59,3.1,0.0,32.07,Large,19.032258064516128
3,4,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88,Large,13.61111111111111
4,3,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,36.85,Large,7.931034482758621
2,2,88.3,150.3,309.9,6.8,13.4,79,3.6,0.0,37.02,Large,21.944444444444443
7,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71,Large,12.666666666666666
4,4,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55,Large,7.959183673469387
7,5,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37,Large,11.0
8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3,Large,7.555555555555555
4,6,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1,Large,8.387096774193548
8,6,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3,Large,10.75
4,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49,Large,4.666666666666667
1,5,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18,Large,8.709677419354838
6,4,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39,Huge,15.925925925925926
9,4,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66,Huge,11.612903225806452
4,5,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88,Huge,8.064516129032258
8,6,91.4,142.4,601.4,10.6,19.6,41,5.8,0.0,196.48,Huge,7.06896551724138
2,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94,Huge,25.555555555555554
1,2,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88,Huge,18.18181818181818
6,5,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84,Huge,6.75
7,5,81.9,3.0,7.9,3.5,13.4,75,1.8,0.0,,,41.666666666666664
6,3,88.0,17.2,43.5,3.8,15.2,51,2.7,0.0,,,18.88888888888889
4,4,83.0,23.3,85.3,2.3,16.7,20,3.1,0.0,,,6.451612903225806
2,4,94.2,122.3,589.9,12.9,15.4,66,4.0,0.0,10.13,Large,16.5
7,4,91.8,175.1,700.7,13.8,21.9,73,7.6,1.0,,,9.605263157894738
2,4,91.8,175.1,700.7,13.8,22.4,54,7.6,0.0,2.87,Medium,7.105263157894737
3,4,91.8,175.1,700.7,13.8,26.8,38,6.3,0.0,0.76,Small,6.031746031746032
5,4,91.8,175.1,700.7,13.8,25.7,39,5.4,0.0,0.09,Small,7.222222222222221
2,4,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75,Small,31.818181818181817
8,6,93.1,157.3,666.7,13.5,28.7,28,2.7,0.0,,,10.37037037037037
3,4,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47,Medium,100.0
8,5,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68,Small,8.064516129032258
8,5,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24,Small,11.612903225806452
6,5,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21,Small,10.277777777777777
7,4,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52,Medium,14.074074074074073
6,3,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34,Large,13.225806451612902
2,5,87.5,77.0,694.8,5.0,22.3,46,4.0,0.0,,,11.5
8,6,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02,Medium,18.636363636363633
4,3,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68,Small,16.296296296296294
3,4,91.8,170.9,692.3,13.7,20.6,59,0.9,0.0,,,65.55555555555556
7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38,Medium,22.22222222222222
