X,Y,FFMC,DMC,DC,ISI,Temperature,Relative_Humidity,Wind,Rainfall,Burned_Area,Fire_Category,Weather_Index
2,4,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85,Medium,8.0
3,4,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3,Medium,11.052631578947368
2,4,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25,Medium,13.548387096774194
6,3,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56,Medium,10.833333333333334
4,4,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54,Medium,17.096774193548388
4,4,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79,Small,7.105263157894737
6,5,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17,Small,13.75
2,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0.0,,,7.741935483870967
3,4,92.1,152.6,658.2,14.3,21.0,32,3.1,0.0,,,10.32258064516129
4,4,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4,Medium,19.62962962962963
2,2,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52,Small,18.064516129032256
8,6,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27,Medium,12.88888888888889
2,5,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09,Medium,11.75
4,6,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98,Medium,6.705882352941177
8,6,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19,Large,7.625
4,6,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38,Medium,12.448979591836734
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85,Large,2.4705882352941178
3,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73,Large,2.4705882352941178
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03,Large,2.4705882352941178
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77,Medium,2.4705882352941178
4,6,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27,Medium,12.040816326530612
6,5,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77,Large,2.823529411764706
6,3,84.9,27.5,353.5,3.4,4.2,51,4.0,0.0,,,12.75
3,4,86.9,6.6,18.7,3.2,8.8,35,3.1,0.0,1.1,Medium,11.29032258064516
5,4,85.2,4.9,15.8,6.3,7.5,46,8.0,0.0,24.24,Large,5.75
2,5,93.9,169.7,411.8,12.3,23.4,40,6.3,0.0,,,6.34920634920635
7,6,91.2,183.1,437.7,12.5,12.6,90,7.6,0.2,,,11.842105263157896
7,4,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,,,18.148148148148145
7,4,91.6,104.2,474.9,9.0,24.2,32,1.8,0.0,,,17.77777777777778
7,4,91.6,104.2,474.9,9.0,24.3,30,1.8,0.0,,,16.666666666666668
2,5,91.6,104.2,474.9,9.0,18.7,53,1.8,0.0,,,29.444444444444443
9,4,91.6,104.2,474.9,9.0,25.3,39,0.9,0.0,8.0,Medium,43.333333333333336
4,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0.0,2.64,Medium,30.769230769230766
7,6,93.1,180.4,430.8,11.0,26.9,28,5.4,0.0,86.45,Large,5.185185185185185
8,6,92.3,88.8,440.9,8.5,17.1,67,3.6,0.0,6.57,Medium,18.61111111111111
7,5,93.1,180.4,430.8,11.0,22.2,48,1.3,0.0,,,36.92307692307692
6,4,90.4,89.5,290.8,6.4,14.3,46,1.8,0.0,0.9,Small,25.555555555555554
8,6,90.4,89.5,290.8,6.4,15.4,45,2.2,0.0,,,20.454545454545453
8,6,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,,,8.775510204081632
6,5,53.4,71.0,233.8,0.4,10.6,90,2.7,0.0,,,33.33333333333333
6,5,90.4,93.3,298.1,7.5,20.7,25,4.9,0.0,,,5.1020408163265305
6,5,90.4,93.3,298.1,7.5,19.1,39,5.4,0.0,3.52,Medium,7.222222222222221
3,6,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,,,8.444444444444445
3,6,91.1,94.1,232.1,7.1,19.2,38,4.5,0.0,,,8.444444444444445
6,5,85.1,28.0,113.8,3.5,11.3,94,4.9,0.0,,,19.183673469387752
1,4,89.6,84.1,714.3,5.7,19.0,52,2.2,0.0,,,23.636363636363633
7,4,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41,Small,9.814814814814815
3,4,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18,Medium,9.722222222222221
2,4,92.4,105.8,758.1,9.9,16.0,45,1.8,0.0,,,25.0
2,4,92.4,105.8,758.1,9.9,24.9,27,2.2,0.0,,,12.272727272727272
7,4,92.4,105.8,758.1,9.9,25.3,27,2.7,0.0,,,10.0
6,3,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29,Large,15.555555555555555
2,4,50.4,46.2,706.6,0.4,12.2,78,6.3,0.0,,,12.380952380952381
6,5,92.6,115.4,777.1,8.8,24.3,27,4.9,0.0,,,5.5102040816326525
4,4,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58,Medium,22.77777777777778
3,4,91.2,134.7,817.5,7.2,18.5,30,2.7,0.0,,,11.11111111111111
4,5,92.4,96.2,739.4,8.6,18.6,24,5.8,0.0,,,4.137931034482759
4,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78,Medium,4.897959183673469
6,5,92.8,119.0,783.5,7.5,21.6,27,2.2,0.0,,,12.272727272727272
5,4,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41,Medium,4.444444444444445
6,3,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36,Large,4.722222222222222
1,4,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21,Medium,7.0
6,5,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01,Medium,7.0
3,5,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18,Medium,14.444444444444443
6,5,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42,Medium,31.11111111111111
1,4,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,,,8.709677419354838
5,4,92.2,102.3,751.5,8.4,24.1,27,3.1,0.0,,,8.709677419354838
6,5,92.2,102.3,751.5,8.4,21.2,32,2.2,0.0,,,14.545454545454545
6,5,92.2,102.3,751.5,8.4,19.7,35,1.8,0.0,,,19.444444444444443
4,3,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33,Medium,6.75
3,3,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58,Medium,8.709677419354838
7,4,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64,Large,6.222222222222222
4,4,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22,Large,18.636363636363633
1,4,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13,Medium,17.419354838709676
2,3,91.6,108.4,764.0,6.2,18.0,51,5.4,0.0,,,9.444444444444445
4,3,91.6,108.4,764.0,6.2,9.8,86,1.8,0.0,,,47.77777777777778
7,4,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,,,20.0
6,3,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,56.04,Large,15.454545454545453
8,6,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48,Medium,15.909090909090908
2,4,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47,Medium,22.77777777777778
2,5,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93,Medium,20.0
8,6,91.9,111.7,770.3,6.5,15.7,51,2.2,0.0,,,23.18181818181818
6,3,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,,,20.555555555555554
8,6,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18,Medium,11.333333333333334
6,3,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1,Medium,13.46938775510204
2,2,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83,Medium,13.870967741935484
1,4,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19,Large,15.909090909090908
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,,,20.833333333333332
3,4,92.1,99.0,745.3,9.6,17.4,57,4.5,0.0,,,12.666666666666666
5,4,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64,Medium,17.77777777777778
5,4,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71,Medium,20.833333333333332
4,4,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,7.31,Medium,8.412698412698413
7,4,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03,Medium,11.944444444444445
7,4,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72,Medium,17.407407407407405
7,4,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97,Medium,22.727272727272727
4,4,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06,Large,7.142857142857142
4,4,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26,Medium,7.142857142857142
6,3,92.5,122.0,789.7,10.2,15.9,55,3.6,0.0,,,15.277777777777777
6,3,92.5,122.0,789.7,10.2,19.7,39,2.7,0.0,,,14.444444444444443
1,4,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12,Medium,17.727272727272727
6,5,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09,Medium,19.09090909090909
4,3,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,3.94,Medium,11.25
7,4,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52,Small,20.64516129032258
4,3,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,2.93,Medium,24.09090909090909
6,5,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65,Medium,12.962962962962962
6,5,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03,Large,14.516129032258064
4,5,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.75,Medium,7.037037037037036
4,5,91.1,132.3,812.1,12.5,16.4,27,3.6,0.0,,,7.5
6,5,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64,Large,9.591836734693876
4,5,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,,,10.131578947368421
7,4,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06,Large,10.131578947368421
3,4,91.9,133.6,520.5,8.0,14.2,58,4.0,0.0,,,14.5
4,5,92.0,203.2,664.5,8.1,10.4,75,0.9,0.0,,,83.33333333333333
5,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0.0,,,15.555555555555555
6,5,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,18.3,Large,19.5
6,5,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,39.35,Large,11.63265306122449
8,6,92.1,207.0,672.6,8.2,21.1,54,2.2,0.0,,,24.545454545454543
2,2,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63,Huge,19.09090909090909
6,5,90.9,18.9,30.6,8.0,8.7,51,5.8,0.0,,,8.793103448275863
4,5,18.7,1.1,171.4,0.0,5.2,100,0.9,0.0,,,111.11111111111111
5,4,93.7,101.3,458.8,11.9,19.3,39,7.2,0.0,7.73,Medium,5.416666666666667
8,6,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33,Large,23.333333333333332
8,6,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86,Medium,16.11111111111111
9,6,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87,Large,21.48148148148148
8,4,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18,Large,9.777777777777779
2,4,91.6,181.3,613.0,7.6,20.9,50,2.2,0.0,16.0,Large,22.727272727272727
3,4,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59,Large,10.185185185185185
5,5,90.9,18.9,30.6,8.0,11.6,48,5.4,0.0,,,8.888888888888888
6,4,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,28.74,Large,10.96774193548387
7,4,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,,,10.96774193548387
7,4,84.7,9.5,58.3,4.1,7.5,71,6.3,0.0,9.96,Medium,11.26984126984127
8,6,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,30.18,Large,17.037037037037035
1,3,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76,Large,10.75
2,4,93.4,15.0,25.6,11.4,15.2,19,7.6,0.0,,,2.5
6,5,84.1,4.6,46.7,2.2,5.3,68,1.8,0.0,,,37.77777777777778
4,5,85.0,9.0,56.9,3.5,10.1,62,1.8,0.0,51.78,Large,34.44444444444444
4,3,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64,Medium,11.224489795918366
5,6,91.6,181.3,613.0,7.6,24.3,33,3.6,0.0,3.63,Medium,9.166666666666666
1,2,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,,,10.32258064516129
9,5,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,,,7.555555555555555
9,5,93.3,49.5,297.7,14.0,28.0,34,4.5,0.0,8.16,Medium,7.555555555555555
3,4,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95,Medium,11.5
9,9,94.8,227.0,706.7,12.0,25.0,36,4.0,0.0,,,9.0
8,6,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,,,11.38888888888889
2,4,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,6.04,Medium,15.454545454545453
2,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,,,12.272727272727272
6,5,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,3.95,Medium,13.673469387755102
4,5,84.7,8.2,55.0,2.9,14.2,46,4.0,0.0,,,11.5
4,3,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,7.8,Medium,14.193548387096774
1,4,92.3,96.2,450.2,12.1,23.4,31,5.4,0.0,,,5.7407407407407405
6,3,84.1,7.3,52.8,2.7,14.7,42,2.7,0.0,,,15.555555555555555
7,4,84.6,3.2,43.6,3.3,8.2,53,9.4,0.0,4.62,Medium,5.638297872340425
9,4,92.3,92.1,442.1,9.8,22.8,27,4.5,0.0,1.63,Medium,6.0
7,5,93.7,231.1,715.1,8.4,26.4,33,3.6,0.0,,,9.166666666666666
5,4,93.6,235.1,723.1,10.1,24.1,50,4.0,0.0,,,12.5
8,6,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28,Huge,5.5102040816326525
6,3,92.7,164.1,575.8,8.9,26.3,39,3.1,0.0,7.02,Medium,12.580645161290322
6,5,93.4,17.3,28.3,9.9,13.8,24,5.8,0.0,,,4.137931034482759
2,4,92.0,203.2,664.5,8.1,24.9,42,5.4,0.0,2.44,Medium,7.777777777777778
2,5,91.6,181.3,613.0,7.6,24.8,36,4.0,0.0,3.05,Medium,9.0
8,8,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76,Huge,8.0
2,4,95.2,217.7,690.0,18.0,30.8,19,4.5,0.0,,,4.222222222222222
8,6,88.9,263.1,795.9,5.2,29.3,27,3.6,0.0,6.3,Medium,7.5
1,3,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.72,Small,12.0
8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96,Medium,8.61111111111111
2,2,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,,,25.454545454545453
8,6,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,,,25.454545454545453
2,4,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,2.35,Medium,14.999999999999998
1,3,94.8,222.4,698.6,13.9,26.2,34,5.8,0.0,,,5.862068965517242
3,4,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,3.2,Medium,11.0
7,4,89.7,287.2,849.3,6.8,19.4,45,3.6,0.0,,,12.5
1,3,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36,Medium,10.0
8,6,94.8,222.4,698.6,13.9,23.9,38,6.7,0.0,,,5.671641791044776
2,4,93.6,235.1,723.1,10.1,20.9,66,4.9,0.0,15.34,Large,13.46938775510204
1,4,90.6,269.8,811.2,5.5,22.2,45,3.6,0.0,,,12.5
2,5,90.8,84.7,376.6,5.6,23.8,51,1.8,0.0,,,28.333333333333332
8,6,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54,Small,26.923076923076923
8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0.0,,,27.037037037037035
2,5,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43,Medium,13.25
1,3,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33,Small,20.909090909090907
5,4,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,,,16.11111111111111
8,6,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23,Medium,16.11111111111111
6,5,87.9,24.9,41.6,3.7,10.9,64,3.1,0.0,3.35,Medium,20.64516129032258
1,2,90.7,80.9,368.3,16.8,14.8,78,8.0,0.0,,,9.75
2,5,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,9.96,Medium,16.11111111111111
5,5,94.0,47.9,100.7,10.7,17.3,80,4.5,0.0,,,17.77777777777778
6,5,92.0,203.2,664.5,8.1,19.1,70,2.2,0.0,,,31.818181818181817
3,4,93.4,17.3,28.3,9.9,8.9,35,8.0,0.0,,,4.375
7,4,89.7,284.9,844.0,10.1,10.5,77,4.0,0.0,,,19.25
7,4,91.6,181.3,613.0,7.6,19.3,61,4.9,0.0,,,12.448979591836734
4,5,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43,Medium,9.074074074074073
1,4,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71,Medium,17.959183673469386
7,4,91.5,238.2,730.6,7.5,17.7,65,4.0,0.0,,,16.25
4,5,89.4,266.2,803.3,5.6,17.4,54,3.1,0.0,,,17.419354838709676
3,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0.0,,,18.064516129032256
3,4,94.6,160.0,567.2,16.7,17.9,48,2.7,0.0,,,17.777777777777775
2,4,91.6,248.4,753.8,6.3,16.6,59,2.7,0.0,,,21.85185185185185
1,4,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75,Large,12.5
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32,Medium,13.061224489795917
7,4,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.94,Medium,9.0
2,5,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,,,13.061224489795917
8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,,,13.061224489795917
1,4,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,3.71,Medium,10.0
6,5,75.1,4.4,16.2,1.9,4.6,82,6.3,0.0,5.39,Medium,13.015873015873016
6,4,75.1,4.4,16.2,1.9,5.1,77,5.4,0.0,2.14,Medium,14.259259259259258
2,2,79.5,3.6,15.3,1.8,4.6,59,0.9,0.0,6.84,Medium,65.55555555555556
6,5,87.2,15.1,36.9,7.1,10.2,45,5.8,0.0,3.18,Medium,7.758620689655173
3,4,90.2,18.5,41.1,7.3,11.2,41,5.4,0.0,5.55,Medium,7.592592592592592
6,5,91.3,20.6,43.5,8.5,13.3,27,3.6,0.0,6.61,Medium,7.5
6,3,91.0,14.6,25.6,12.3,13.7,33,9.4,0.0,61.13,Large,3.5106382978723403
5,4,91.0,14.6,25.6,12.3,17.6,27,5.8,0.0,,,4.655172413793103
4,3,89.6,25.4,73.7,5.7,18.0,40,4.0,0.0,38.48,Large,10.0
8,3,88.2,96.2,229.0,4.7,14.3,79,4.0,0.0,1.94,Medium,19.75
9,4,90.5,61.1,252.6,9.4,24.5,50,3.1,0.0,70.32,Large,16.129032258064516
4,3,93.0,103.8,316.7,10.8,26.4,35,2.7,0.0,10.08,Large,12.962962962962962
2,5,93.7,121.7,350.2,18.0,22.7,40,9.4,0.0,3.19,Medium,4.25531914893617
4,3,93.5,85.3,395.0,9.9,27.2,28,1.3,0.0,1.76,Medium,21.538461538461537
4,3,93.7,101.3,423.4,14.7,26.1,45,4.0,0.0,7.36,Medium,11.25
7,4,93.7,101.3,423.4,14.7,18.2,82,4.5,0.0,2.21,Medium,18.22222222222222
7,4,89.2,103.9,431.6,6.4,22.6,57,4.9,0.0,278.53,Huge,11.63265306122449
9,9,93.2,114.4,560.0,9.5,30.2,25,4.5,0.0,2.75,Medium,5.555555555555555
4,3,93.2,114.4,560.0,9.5,30.2,22,4.9,0.0,,,4.489795918367347
3,4,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29,Medium,6.8965517241379315
8,6,94.9,130.3,587.1,14.1,31.0,27,5.4,0.0,,,5.0
2,5,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,26.43,Large,6.25
2,4,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07,Medium,7.777777777777778
5,4,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0,Medium,6.825396825396826
5,4,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4,Large,9.444444444444445
4,4,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7,Large,9.342105263157896
4,4,95.1,141.3,605.8,17.7,20.6,58,1.3,0.0,,,44.61538461538461
4,4,95.1,141.3,605.8,17.7,28.7,33,4.0,0.0,,,8.25
4,4,95.8,152.0,624.1,13.8,32.4,21,4.5,0.0,,,4.666666666666667
1,3,95.9,158.0,633.6,11.3,32.4,27,2.2,0.0,,,12.272727272727272
1,3,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0,43.32,Large,6.444444444444445
6,6,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,8.59,Medium,6.122448979591836
6,6,96.2,175.5,661.8,16.8,23.9,42,2.2,0.0,,,19.09090909090909
4,5,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,2.77,Medium,8.387096774193548
3,4,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68,Large,12.272727272727272
6,5,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,40.54,Large,9.62962962962963
7,5,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82,Large,12.857142857142856
8,6,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,,,13.265306122448978
7,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,,,13.265306122448978
4,4,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,,,14.081632653061224
2,4,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95,Medium,6.122448979591836
4,3,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,49.59,Large,5.918367346938775
1,2,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8,Medium,19.444444444444443
1,2,91.0,166.9,752.6,7.1,18.5,73,8.5,0.0,,,8.588235294117647
2,4,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,,,11.38888888888889
1,2,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,,,11.38888888888889
5,4,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17,Medium,9.342105263157896
6,5,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43,Small,11.481481481481481
8,6,81.6,56.7,665.6,1.9,27.8,35,2.7,0.0,,,12.962962962962962
4,3,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44,Medium,11.851851851851851
2,4,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29,Large,12.241379310344827
7,4,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,11.16,Large,10.44776119402985
1,4,94.4,146.0,614.7,11.3,25.6,42,4.0,0.0,,,10.5
6,3,79.5,3.0,106.7,1.1,11.8,31,4.5,0.0,,,6.888888888888889
